surface,kana,source_id,reason,notes
"全国市部","ぜんこくしぶ","estat-region-codes","notable_geography","broad or highly recognizable geography label"
"全国郡部","ぜんこくぐんぶ","estat-region-codes","notable_geography","broad or highly recognizable geography label"
"凍え死に","こごえじに","ninjal-basic-vocab-2009","sensitive_surface:死",""
"殺人","さつじん","ninjal-basic-vocab-2009","sensitive_surface:殺人",""
"死刑","しけい","ninjal-basic-vocab-2009","sensitive_surface:死",""
"自殺","じさつ","ninjal-basic-vocab-2009","sensitive_surface:自殺",""
"死者","ししゃ","ninjal-basic-vocab-2009","sensitive_surface:死",""
"死に物狂い","しにものぐるい","ninjal-basic-vocab-2009","sensitive_surface:死",""
"生死","せいし","ninjal-basic-vocab-2009","sensitive_surface:死",""
"戦死","せんし","ninjal-basic-vocab-2009","sensitive_surface:死",""
"犯罪","はんざい","ninjal-basic-vocab-2009","sensitive_surface:犯罪",""
"必死","ひっし","ninjal-basic-vocab-2009","sensitive_surface:死",""
"病死","びょうし","ninjal-basic-vocab-2009","sensitive_surface:死",""
"暴力","ぼうりょく","ninjal-basic-vocab-2009","sensitive_surface:暴力",""
"暴力団","ぼうりょくだん","ninjal-basic-vocab-2009","sensitive_surface:暴力",""
"ああ","ああ","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"愛","あい","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"挨拶","あいさつ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"合図","あいず","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"愛","あいする","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"間","あいだ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"相手","あいて","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"あう","あう","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"青","あお","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"青","あおい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"赤","あか","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"赤","あかい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"明","あかり","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"上","あがる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"明","あかるい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"赤坊","あかんぼう","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"秋","あき","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"あきらめる","あきらめる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"飽","あきる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"開","あく","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"握手","あくしゅ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"アクセント","あくせんと","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"あける","あける","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"上","あげる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"顎","あご","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"朝","あさ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"浅","あさい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"明後日","あさって","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"足","あし","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"味","あじ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"明日","あした","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"預","あずかる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"預","あずける","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"汗","あせ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"あそこ","あそこ","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"遊","あそぶ","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"与","あたえる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"暖","あたたかいな","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"暖","あたためる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"頭","あたま","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"新","あたらしい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"辺","あたり","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"当前","あたりまえ","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"当","あたる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"厚","あつい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"扱","あつかう","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"集","あつまる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"集","あつめる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"当","あてる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"後","あと","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"穴","あな","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"貴方","あなた","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"兄","あに","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"姉","あね","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"ね","あの","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"アパート","あぱーと","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
